persuader_type,mental_state,participant_id,scenario,trial_num,success,persuasion_success,appeals_success,appeals_success_no_inferential
o1-preview,Hidden,999,llms,0,0,0,0,0
o1-preview,Hidden,999,lunar governance,1,0,0,0,0
o1-preview,Hidden,999,coastal energy innovation,2,0,0,0,0
o1-preview,Hidden,999,education overhaul,3,0,0,0,0
o1-preview,Hidden,999,meatless lunch,4,0,0,1,0
o1-preview,Hidden,999,llms,5,0,0,0,0
o1-preview,Hidden,999,lunar governance,6,0,0,0,0
o1-preview,Hidden,999,coastal energy innovation,7,0,0,0,0
o1-preview,Hidden,999,education overhaul,8,0,0,0,0
o1-preview,Hidden,999,meatless lunch,9,1,1,0,0
o1-preview,Hidden,999,llms,10,1,1,0,0
o1-preview,Hidden,999,lunar governance,11,0,0,0,0
o1-preview,Hidden,999,coastal energy innovation,12,0,0,0,0
o1-preview,Hidden,999,education overhaul,13,0,0,0,0
o1-preview,Hidden,999,meatless lunch,14,1,1,0,0
o1-preview,Hidden,999,llms,15,0,0,0,0
o1-preview,Hidden,999,lunar governance,16,0,0,0,0
o1-preview,Hidden,999,coastal energy innovation,17,1,1,0,0
o1-preview,Hidden,999,education overhaul,18,0,0,0,0
o1-preview,Hidden,999,meatless lunch,19,0,0,0,0
o1-preview,Hidden,999,llms,20,0,0,0,0
o1-preview,Hidden,999,lunar governance,21,0,0,0,0
o1-preview,Hidden,999,coastal energy innovation,22,0,0,0,0
o1-preview,Hidden,999,education overhaul,23,0,0,0,0
o1-preview,Hidden,999,meatless lunch,24,0,0,0,0
o1-preview,Hidden,999,llms,25,0,0,0,0
o1-preview,Hidden,999,lunar governance,26,0,0,0,0
o1-preview,Hidden,999,coastal energy innovation,27,0,0,0,0
o1-preview,Hidden,999,education overhaul,28,0,0,1,0
o1-preview,Hidden,999,meatless lunch,29,0,0,0,0
o1-preview,Hidden,999,llms,30,0,0,0,0
o1-preview,Hidden,999,lunar governance,31,0,0,0,0
o1-preview,Hidden,999,coastal energy innovation,32,0,0,0,0
o1-preview,Hidden,999,education overhaul,33,0,0,0,0
o1-preview,Hidden,999,meatless lunch,34,0,0,0,0
o1-preview,Hidden,999,llms,35,1,1,0,0
o1-preview,Hidden,999,lunar governance,36,1,1,0,0
o1-preview,Hidden,999,coastal energy innovation,37,0,0,0,0
o1-preview,Hidden,999,education overhaul,38,0,0,0,0
o1-preview,Hidden,999,meatless lunch,39,0,0,0,0
o1-preview,Hidden,999,llms,40,0,0,0,0
o1-preview,Hidden,999,lunar governance,41,0,0,0,0
o1-preview,Hidden,999,coastal energy innovation,42,0,0,0,0
o1-preview,Hidden,999,education overhaul,43,0,0,0,0
o1-preview,Hidden,999,meatless lunch,44,1,1,0,0
o1-preview,Hidden,999,llms,45,0,0,0,0
o1-preview,Hidden,999,lunar governance,46,0,0,0,0
o1-preview,Hidden,999,coastal energy innovation,47,0,0,0,0
o1-preview,Hidden,999,education overhaul,48,0,0,0,0
o1-preview,Hidden,999,meatless lunch,49,0,0,0,0
o1-preview,Hidden,999,llms,50,0,0,0,0
o1-preview,Hidden,999,lunar governance,51,0,0,1,1
o1-preview,Hidden,999,coastal energy innovation,52,0,0,0,0
o1-preview,Hidden,999,education overhaul,53,0,0,0,0
o1-preview,Hidden,999,meatless lunch,54,0,0,0,0
o1-preview,Hidden,999,llms,55,0,0,0,0
o1-preview,Hidden,999,lunar governance,56,0,0,0,0
o1-preview,Hidden,999,coastal energy innovation,57,0,0,0,0
o1-preview,Hidden,999,education overhaul,58,0,0,0,0
o1-preview,Hidden,999,meatless lunch,59,0,0,0,0
o1-preview,Hidden,999,llms,60,0,0,1,0
o1-preview,Hidden,999,lunar governance,61,0,0,0,0
